Excercise,Equipment Required,Aux Equipment,Difficulty,Muscle Group,Primary,Secondary
Landmine Kneeling Press Single Arm,Barbells,,Advanced,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Pectorals, Obliques, Erector Spinae"
Landmine Press,Barbells,,Advanced,SHOULDERS,"Anterior Deltoids, Medial Deltoids, Upper Pectorals","Triceps, Erector Spinae, Transverse Abdominis"
Landmine Press Single Arm,Barbells,,Advanced,SHOULDERS,"Anterior Deltoids, Upper Pectorals","Triceps, Obliques, Erector Spinae"
Landmine Punch,Barbells,,Advanced,SHOULDERS,"Anterior Deltoids, Pectorals","Triceps, Obliques, Erector Spinae"
Landmine Throw,Barbells,,Advanced,SHOULDERS,"Deltoids, Glutes, Hamstrings","Erector Spinae, Quadriceps, Obliques, Forearm Flexors"
Pike Push Up,None,,Beginner,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Pectorals"
Rear Delt Db Row With Bench,Dumbbells,Incline Bench,Intermediate,SHOULDERS,Rear Deltoids,"Rhomboids, Trapezius, Teres Minor, Biceps"
Reverse Machine Flyes,Pec Deck,,Advanced,SHOULDERS,"Rear Deltoids, Rhomboids","Trapezius, Teres Minor, Infraspinatus"
Seated Barbell Military Press,Barbells,,Advanced,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Supraspinatus"
Seated Rear Delt Raise,Barbells,,Advanced,SHOULDERS,Rear Deltoids,"Rhomboids, Trapezius, Teres Minor"
Smith Machine Press,Smith Machine,,Advanced,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Supraspinatus"
Smith Machine Shrugs,Smith Machine,,Advanced,SHOULDERS,Upper Trapezius,"Levator Scapulae, Rhomboids"
Standing Barbell Militery Press,Barbells,,Advanced,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Erector Spinae"
Standing Front Barbell Raise Over Head,Barbells,,Advanced,SHOULDERS,Anterior Deltoids,"Medial Deltoids, Upper Trapezius, Pectorals"
Standing Overhead Push Press,Dead Lift Machine,,Advanced,SHOULDERS,"Anterior Deltoids, Medial Deltoids, Quadriceps, Glutes","Triceps, Upper Trapezius, Erector Spinae"
Upright Row Dumbbells,Dumbbells,,Intermediate,SHOULDERS,"Medial Deltoids, Upper Trapezius","Anterior Deltoids, Biceps, Brachioradialis"
90 90 Stretch,None,,Beginner,STRETCHES,"Hip Flexors, Hip External Rotators, Glutes","Piriformis, Adductors, TFL"
Above Head Chest Stretch,None,,Beginner,STRETCHES,Pectorals,"Anterior Deltoids, Biceps"
Across Chest Shoulder Stretch,None,,Beginner,STRETCHES,"Rear Deltoids, Rhomboids","Trapezius, Teres Minor"
Butterfly Stretch,None,,Beginner,STRETCHES,"Adductors, Hip Flexors","Glutes, Piriformis"
Calf Stretch,None,,Beginner,STRETCHES,Gastrocnemius,"Soleus, Achilles Tendon, Tibialis Posterior"
Cat Cow Stretch,None,,Beginner,STRETCHES,"Erector Spinae, Rectus Abdominis","Multifidi, Obliques, Hip Flexors"
Chest Out Hands Behind (Hold),None,,Beginner,STRETCHES,"Pectorals, Anterior Deltoids","Biceps, Serratus Anterior"
Dead Bugs,None,,Beginner,STRETCHES,"Transverse Abdominis, Rectus Abdominis","Erector Spinae, Hip Flexors, Obliques"
Downward Dog,None,,Beginner,STRETCHES,"Hamstrings, Gastrocnemius","Glutes, Deltoids, Latissimus Dorsi, Erector Spinae"
Front Foot Elevated Ankle Mobility,Incline Bench,Bench press,Beginner,STRETCHES,"Gastrocnemius, Soleus","Tibialis Posterior, Ankle Flexors"
Groiners,None,,Beginner,STRETCHES,"Hip Flexors, Adductors","Glutes, Hamstrings, Thoracic Extensors"
Half Kneel Abductor Stretch,None,,Beginner,STRETCHES,"Adductors, Hip Abductors","Glutes, TFL, Piriformis"
Half Kneel Quad Hip Flexor Stretch,None,,Beginner,STRETCHES,"Hip Flexors, Quadriceps","Rectus Femoris, Iliacus, Psoas"
Hip Raises,None,,Beginner,STRETCHES,"Glutes, Hamstrings","Erector Spinae, Adductors, Transverse Abdominis"
Knee Hugs,None,,Beginner,STRETCHES,"Glutes, Hip Flexors, Erector Spinae","Hamstrings, Piriformis"
Kneeling Push Up Childs Pose,None,,Beginner,STRETCHES,"Latissimus Dorsi, Erector Spinae","Deltoids, Triceps, Glutes"
Knelling Push Up To Child'S Pose,None,,Beginner,STRETCHES,"Latissimus Dorsi, Erector Spinae","Deltoids, Triceps, Glutes"
Lying Chest Squeezes 1,None,,Beginner,STRETCHES,Pectorals,"Anterior Deltoids, Serratus Anterior"
Lying Chest Squeezes 2,None,,Beginner,STRETCHES,Pectorals,"Anterior Deltoids, Serratus Anterior"
Quad Stretch,None,,Beginner,STRETCHES,"Quadriceps, Hip Flexors","Rectus Femoris, Iliacus"
Seated Straight Leg Hamstring Stretch,None,,Beginner,STRETCHES,Hamstrings,"Glutes, Gastrocnemius, Erector Spinae"
Straight Leg Skips,None,,Beginner,STRETCHES,"Hip Flexors, Hamstrings, Gastrocnemius","Glutes, Quadriceps, Erector Spinae"
Wall Side Glute Activation,None,,Beginner,STRETCHES,"Glutes (Gluteus Medius), Hip Abductors","Tensor Fasciae Latae, Piriformis"
Bent Over Dumbbell Kickbacks,Dumbbells,,Intermediate,TRICEPS,Triceps,"Rear Deltoids, Anconeus"
Cable Rope Overhead Extension From Low,Cable machine,,Intermediate,TRICEPS,Triceps (Long Head),"Anconeus, Rear Deltoids"
Cable Tricep Kick Back,Cable machine,,Intermediate,TRICEPS,Triceps,"Anconeus, Rear Deltoids"
Db One Arm Extension,Dumbbells,,Intermediate,TRICEPS,Triceps (Long Head),Anconeus
Db Over Head Extensions With Pause,Dumbbells,,Intermediate,TRICEPS,Triceps (Long Head),"Anconeus, Rear Deltoids"
Db Skull Crushers,Dumbbells,,Intermediate,TRICEPS,Triceps,"Anconeus, Deltoids"
Db Tate Press,Dumbbells,,Intermediate,TRICEPS,Triceps,"Pectorals, Anterior Deltoids"
Dips Machine,Dumbbells,,Intermediate,TRICEPS,"Triceps, Pectorals, Anterior Deltoids","Rhomboids, Serratus Anterior"
Dips Weighted,Dip Machine,,Advanced,TRICEPS,"Triceps, Pectorals (Lower), Anterior Deltoids","Rhomboids, Serratus Anterior"
Dumbbell Triceps Extension,Dumbbells,,Intermediate,TRICEPS,Triceps (Long Head),Anconeus
Ez Bar French Press,Curl Bar,,Advanced,TRICEPS,Triceps (Long Head),Anconeus
Incline Db Extensions - Db Powerbomb,Dumbbells,,Intermediate,TRICEPS,Triceps,Anconeus
Incline Dumbbell Extensions,Dumbbells,,Intermediate,TRICEPS,Triceps (Long Head),Anconeus
Incline Dumbbell Triceps Kickback,Dumbbells,,Intermediate,TRICEPS,Triceps,"Rear Deltoids, Anconeus"
Kettlebell Tricep Extension,Kettlebells,,Intermediate,TRICEPS,Triceps (Long Head),"Anconeus, Rear Deltoids"
Over Head Cable Extension,Cable machine,,Intermediate,TRICEPS,Triceps (Long Head),"Anconeus, Rear Deltoids"
Rope Press Down,Cable machine,,Intermediate,TRICEPS,Triceps,"Anconeus, Forearm Extensors"
Seated Overhead Db Extension,Dumbbells,,Intermediate,TRICEPS,Triceps (Long Head),Anconeus
Tricep Dips,Bench press,Incline Bench,Advanced,TRICEPS,"Triceps, Pectorals (Lower), Anterior Deltoids","Rhomboids, Serratus Anterior"
Tricep Dips On Bench,Bench press,Incline Bench,Advanced,TRICEPS,Triceps,"Anterior Deltoids, Pectorals (Lower)"
Tricep Dumbbell Kickback,Incline Bench,Dumbbells,Advanced,TRICEPS,Triceps,"Rear Deltoids, Anconeus"
Triceps Dips,Incline Bench,Bench press,Advanced,TRICEPS,"Triceps, Pectorals (Lower), Anterior Deltoids","Rhomboids, Serratus Anterior"
Triceps Dips On A Bench,Bench press,Incline Bench,Advanced,TRICEPS,Triceps,"Anterior Deltoids, Pectorals (Lower)"
Triceps Pushdown,Vertical Knee Raise Station,,Advanced,TRICEPS,Triceps,"Anconeus, Forearm Extensors"
V-Bar Press Down,Cable machine,,Intermediate,TRICEPS,Triceps,"Anconeus, Forearm Extensors"
